,Folder,Id,Field,Well,CoringTop,CoringDown,CoringTopBind,CoringDownBind,CoreRecovery,PhotoTop,PhotoDown,PhotoType,LayerTop,LayerDown,Rock,Carbonate,Ruin,Saturation,class
38,Unload1,1000038,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,4.0,4.65,ДС,3.35,4.65,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
40,Unload1,1000040,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,4.65,5.0,ДС,4.65,5.15,алевролит,не карбонатный,не разрушен,не опред.,0
42,Unload1,1000042,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.0,5.15,ДС,4.65,5.15,алевролит,не карбонатный,не разрушен,не опред.,0
44,Unload1,1000044,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.15,5.29,ДС,5.15,5.29,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
46,Unload1,1000046,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.29,5.6,ДС,5.29,5.6,алевролит,не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
48,Unload1,1000048,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.6,5.75,ДС,5.6,5.75,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
50,Unload1,1000050,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.75,6.0,ДС,5.75,7.08,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
52,Unload1,1000052,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,6.0,7.0,ДС,5.75,7.08,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
54,Unload1,1000054,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,7.0,7.08,ДС,5.75,7.08,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
56,Unload1,1000056,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,7.08,8.0,ДС,7.08,8.77,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
58,Unload1,1000058,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,8.0,8.77,ДС,7.08,8.77,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
60,Unload1,1000060,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,8.77,9.0,ДС,8.77,9.88,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
62,Unload1,1000062,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,9.0,9.88,ДС,8.77,9.88,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
64,Unload1,1000064,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,9.88,10.0,ДС,9.88,10.28,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
66,Unload1,1000066,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,10.0,10.28,ДС,9.88,10.28,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
68,Unload1,1000068,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,10.28,11.0,ДС,10.28,11.56,песчаник,сильнокарбонатный,не разрушен,не опред.,0
70,Unload1,1000070,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,11.0,11.56,ДС,10.28,11.56,песчаник,сильнокарбонатный,не разрушен,не опред.,0
72,Unload1,1000072,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,11.56,12.0,ДС,11.56,13.68,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
74,Unload1,1000074,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,12.0,13.0,ДС,11.56,13.68,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
76,Unload1,1000076,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,13.0,13.68,ДС,11.56,13.68,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
78,Unload1,1000078,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,13.68,14.0,ДС,13.68,14.44,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
80,Unload1,1000080,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,14.0,14.44,ДС,13.68,14.44,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
82,Unload1,1000082,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,14.44,15.0,ДС,14.44,15.0,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
84,Unload1,1000084,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,0.0,0.31,ДС,0.0,0.31,песчаник,слабокарбонатный,не разрушен,не опред.,0
86,Unload1,1000086,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,0.31,1.0,ДС,0.31,1.06,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
88,Unload1,1000088,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,1.0,1.06,ДС,0.31,1.06,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
90,Unload1,1000090,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,1.06,2.0,ДС,1.06,2.88,алевролит,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
92,Unload1,1000092,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,2.0,2.88,ДС,1.06,2.88,алевролит,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
94,Unload1,1000094,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,0.0,1.0,ДС,0.0,1.33,алевролит,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
96,Unload1,1000096,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,1.0,1.33,ДС,0.0,1.33,алевролит,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
98,Unload1,1000098,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,1.33,1.55,ДС,1.33,1.55,песчаник,не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
100,Unload1,1000100,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,1.55,2.0,ДС,1.55,2.18,алевролит,не карбонатный,не разрушен,не опред.,0
102,Unload1,1000102,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,2.0,2.18,ДС,1.55,2.18,алевролит,не карбонатный,не разрушен,не опред.,0
104,Unload1,1000104,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,2.18,3.0,ДС,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
106,Unload1,1000106,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,3.0,4.0,ДС,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
108,Unload1,1000108,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,4.0,5.0,ДС,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
110,Unload1,1000110,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,5.0,6.0,ДС,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
112,Unload1,1000112,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,6.0,7.0,ДС,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
114,Unload1,1000114,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,7.0,7.07,ДС,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
116,Unload1,1000116,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,7.07,8.0,ДС,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
118,Unload1,1000118,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,8.0,9.0,ДС,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
120,Unload1,1000120,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,9.0,10.0,ДС,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
122,Unload1,1000122,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,10.0,11.0,ДС,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
124,Unload1,1000124,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,11.0,12.0,ДС,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
126,Unload1,1000126,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,12.0,13.0,ДС,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
128,Unload1,1000128,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,13.0,14.0,ДС,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
130,Unload1,1000130,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,14.0,15.0,ДС,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
132,Unload1,1000132,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,0.0,0.76,ДС,0.0,0.76,песчаник,среднекарбонатный,не разрушен,не опред.,0
134,Unload1,1000134,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,0.76,1.0,ДС,0.76,2.5,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
136,Unload1,1000136,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,1.0,2.0,ДС,0.76,2.5,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
138,Unload1,1000138,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,2.0,2.5,ДС,0.76,2.5,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
140,Unload1,1000140,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,2.5,3.0,ДС,2.5,4.96,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
142,Unload1,1000142,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,3.0,4.0,ДС,2.5,4.96,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
144,Unload1,1000144,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,4.0,4.96,ДС,2.5,4.96,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
146,Unload1,1000146,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,4.96,5.0,ДС,4.96,5.24,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
148,Unload1,1000148,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,5.0,5.24,ДС,4.96,5.24,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
150,Unload1,1000150,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,5.24,5.84,ДС,5.24,5.84,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
152,Unload1,1000152,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,5.84,6.0,ДС,5.84,6.0,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
154,Unload1,1000154,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,0.0,1.0,ДС,0.0,1.23,песчаник,не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
156,Unload1,1000156,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,1.0,1.23,ДС,0.0,1.23,песчаник,не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
158,Unload1,1000158,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,1.23,2.0,ДС,1.23,2.55,песчаник,сильнокарбонатный,не разрушен,не опред.,0
160,Unload1,1000160,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,2.0,2.55,ДС,1.23,2.55,песчаник,сильнокарбонатный,не разрушен,не опред.,0
162,Unload1,1000162,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,2.55,3.0,ДС,2.55,3.32,"пересл. песчаника, алевролита и глин",сильнокарбонатный,не разрушен,не опред.,0
164,Unload1,1000164,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,3.0,3.32,ДС,2.55,3.32,"пересл. песчаника, алевролита и глин",сильнокарбонатный,не разрушен,не опред.,0
166,Unload1,1000166,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,3.32,4.0,ДС,3.32,4.14,песчаник,сильнокарбонатный,не разрушен,не опред.,0
168,Unload1,1000168,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.0,4.14,ДС,3.32,4.14,песчаник,сильнокарбонатный,не разрушен,не опред.,0
170,Unload1,1000170,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.14,4.23,ДС,4.14,4.23,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
172,Unload1,1000172,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.23,4.43,ДС,4.23,4.43,"пересл. песчаника, алевролита и глин",сильнокарбонатный,не разрушен,не опред.,0
174,Unload1,1000174,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.43,4.62,ДС,4.43,4.62,песчаник,среднекарбонатный,не разрушен,пятнисто нефтенасыщенные,4
176,Unload1,1000176,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.62,5.0,ДС,4.62,5.04,песчаник,среднекарбонатный,не разрушен,не опред.,0
178,Unload1,1000178,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,5.0,5.04,ДС,4.62,5.04,песчаник,среднекарбонатный,не разрушен,не опред.,0
180,Unload1,1000180,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,5.04,5.66,ДС,5.04,5.66,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
182,Unload1,1000182,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,5.66,6.0,ДС,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
184,Unload1,1000184,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,6.0,7.0,ДС,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
186,Unload1,1000186,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,7.0,8.0,ДС,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
188,Unload1,1000188,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,8.0,9.0,ДС,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
190,Unload1,1000190,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,9.0,10.0,ДС,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
192,Unload1,1000192,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,10.0,11.0,ДС,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
194,Unload1,1000194,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,11.0,11.25,ДС,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
196,Unload1,1000196,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,11.25,11.76,ДС,11.25,11.76,песчаник,сильнокарбонатный,не разрушен,пятнисто нефтенасыщенные,4
198,Unload1,1000198,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,11.76,12.0,ДС,11.76,14.96,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
200,Unload1,1000200,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,12.0,13.0,ДС,11.76,14.96,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
202,Unload1,1000202,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,13.0,14.0,ДС,11.76,14.96,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
204,Unload1,1000204,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,14.0,14.96,ДС,11.76,14.96,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
206,Unload1,1000206,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,0.0,1.0,ДС,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
208,Unload1,1000208,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,1.0,2.0,ДС,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
210,Unload1,1000210,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,2.0,3.0,ДС,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
212,Unload1,1000212,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,3.0,4.0,ДС,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
214,Unload1,1000214,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,4.0,4.12,ДС,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
216,Unload1,1000216,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,4.12,5.0,ДС,4.12,6.0,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
218,Unload1,1000218,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,5.0,6.0,ДС,4.12,6.0,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
220,Unload1,1000220,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,6.0,6.98,ДС,6.0,6.98,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
222,Unload1,1000336,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,0.0,1.0,ДС,0.0,2.41,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
224,Unload1,1000338,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,1.0,1.99,ДС,0.0,2.41,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
226,Unload1,1000340,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,1.99,2.41,ДС,0.0,2.41,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
228,Unload1,1000342,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,2.41,2.99,ДС,2.41,2.99,песчаник,слабокарбонатный,не разрушен,не опред.,0
230,Unload1,1000344,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,2.99,3.98,ДС,2.99,4.6,песчаник,не карбонатный,не разрушен,не опред.,0
232,Unload1,1000346,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,3.98,4.6,ДС,2.99,4.6,песчаник,не карбонатный,не разрушен,не опред.,0
234,Unload1,1000348,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,4.6,4.99,ДС,4.6,5.28,песчаник,не карбонатный,частично разрушен,не опред.,0
236,Unload1,1000350,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,4.99,5.28,ДС,4.6,5.28,песчаник,не карбонатный,частично разрушен,не опред.,0
238,Unload1,1000352,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,5.28,5.51,ДС,5.28,5.51,алевролит,не карбонатный,не разрушен,не опред.,0
240,Unload1,1000354,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,5.51,5.93,ДС,5.51,5.93,песчаник глинистый,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
242,Unload1,1000356,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,5.93,6.0,ДС,5.93,6.51,песчаник,не карбонатный,не разрушен,не опред.,0
244,Unload1,1000358,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,6.0,6.51,ДС,5.93,6.51,песчаник,не карбонатный,не разрушен,не опред.,0
246,Unload1,1000360,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,6.51,6.79,ДС,6.51,6.79,песчаник глинистый,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
248,Unload1,1000362,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,6.79,6.99,ДС,6.79,7.77,песчаник глинистый,не карбонатный,не разрушен,не опред.,0
250,Unload1,1000364,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,6.99,7.77,ДС,6.79,7.77,песчаник глинистый,не карбонатный,не разрушен,не опред.,0
252,Unload1,1000366,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,7.77,7.97,ДС,7.77,8.07,алевролит,среднекарбонатный,не разрушен,не опред.,0
254,Unload1,1000368,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,7.97,8.07,ДС,7.77,8.07,алевролит,среднекарбонатный,не разрушен,не опред.,0
256,Unload1,1000370,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,8.07,8.24,ДС,8.07,8.24,песчаник,не карбонатный,не разрушен,не опред.,0
258,Unload1,1000372,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,0.0,0.96,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
260,Unload1,1000374,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,0.96,1.93,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
262,Unload1,1000376,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,1.93,2.92,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
264,Unload1,1000378,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,2.92,3.9,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
266,Unload1,1000380,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,3.9,4.9,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
268,Unload1,1000382,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,4.9,5.89,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
270,Unload1,1000384,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,5.89,6.88,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
272,Unload1,1000386,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,6.88,7.87,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
274,Unload1,1000388,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,7.87,8.67,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
276,Unload1,1000390,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,8.67,8.81,ДС,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
278,Unload1,1000392,Field5,Well6,3047.45,3056.58,3049.45,3058.58,9.11,0.0,0.17,ДС,0.0,0.17,песчаник,сильнокарбонатный,не разрушен,не опред.,0
280,Unload1,1000394,Field5,Well6,3047.45,3056.58,3049.45,3058.58,9.11,0.17,0.86,ДС,0.17,7.67,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
