index,Folder,Id,Field,Well,CoringTop,CoringDown,CoringTopBind,CoringDownBind,CoreRecovery,PhotoTop,PhotoDown,PhotoType,LayerTop,LayerDown,Rock,Carbonate,Ruin,Saturation,class,weight
2745,Unload2,1004079,Field2,Well2,2924.0,2936.0,2926.0,2938.0,11.39,5.95,6.95,УФ,3.16,10.77,кремнистая порода,с карбонатными обломками или конкрециями,частично разрушен,битуминозный,2,19.70754716981132
1796,Unload2,1002179,Field1,Well3,2820.0,2826.0,2822.9,2828.9,5.99,3.0,3.93,УФ,2.92,3.93,песчаник,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
3152,Unload2,1004897,Field2,Well10,2585.3,2602.3,2585.9,2602.9,17.0,6.97,7.31,УФ,0.0,7.31,аргиллит,пятнисто карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2337,Unload2,1003263,Field1,Well1,3050.0,3062.0,3052.7,3064.7,11.95,10.95,11.7,УФ,9.47,11.7,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1736,Unload2,1002059,Field1,Well3,2710.0,2722.0,2712.6,2724.6,11.92,10.4,10.94,УФ,10.4,11.92,кремнисто-карбонатная порода,среднекарбонатный,частично разрушен,битуминозный,2,19.70754716981132
887,Unload2,1000361,Field4,Well4,2884.0,2898.0,2884.9,2898.9,13.89,11.93,12.08,УФ,10.43,12.08,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
549,Unload1,1001355,Field3,Well12,3495.0,3500.0,3495.0,3500.0,4.8,0.59,0.75,УФ,0.59,0.75,алевролит,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
2236,Unload2,1003061,Field1,Well1,2870.0,2882.0,2873.2,2885.2,11.95,5.56,5.98,УФ,5.56,6.28,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
50,Unload1,1000101,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,1.55,2.0,УФ,1.55,2.18,алевролит,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
889,Unload2,1000365,Field4,Well4,2884.0,2898.0,2884.9,2898.9,13.89,12.91,13.05,УФ,12.08,13.05,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
745,Unload2,1000077,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,10.17,10.41,УФ,10.17,10.41,переслаивание песчаника и алевролита,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
1617,Unload2,1001821,Field1,Well3,2577.5,2594.5,2579.2,2596.2,16.95,9.29,9.98,УФ,9.29,9.98,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
3021,Unload2,1004633,Field2,Well5,2960.0,2976.0,2959.4,2975.4,15.97,3.86,3.98,УФ,3.86,5.23,переслаивание песчаника и алевролита,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
2413,Unload2,1003415,Field1,Well1,3102.0,3114.0,3104.7,3116.7,12.0,6.64,7.02,УФ,6.64,8.64,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1465,Unload2,1001517,Field1,Well7,2802.0,2814.0,2803.2,2815.2,11.42,2.8,2.95,УФ,2.16,2.95,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2314,Unload2,1003217,Field1,Well1,3050.0,3062.0,3052.7,3064.7,11.95,0.0,0.37,УФ,0.0,0.37,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2284,Unload2,1003157,Field1,Well1,2914.0,2926.0,2916.6,2928.6,11.91,6.41,6.76,УФ,6.41,6.76,песчаник,с примесью,частично разрушен,не опред.,0,1.3698360655737705
2364,Unload2,1003317,Field1,Well1,3062.0,3074.0,3065.8,3077.8,11.95,9.95,10.95,УФ,9.88,11.95,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2396,Unload2,1003381,Field1,Well1,3091.0,3102.0,3093.7,3104.7,10.34,7.99,8.53,УФ,7.22,8.53,уголь,не карбонатный,разрушен,не опред.,0,1.3698360655737705
1452,Unload2,1001491,Field1,Well7,2790.0,2802.0,2791.2,2803.2,12.0,9.27,9.73,УФ,9.27,9.73,аргиллит,не карбонатный,разрушен,не опред.,0,1.3698360655737705
3028,Unload2,1004647,Field2,Well5,2960.0,2976.0,2959.4,2975.4,15.97,8.99,9.99,УФ,5.23,11.47,песчаник,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
1129,Unload2,1000845,Field3,Well8,960.2,969.2,958.5,967.5,8.93,5.5,5.98,УФ,5.5,7.38,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
1902,Unload2,1002393,Field1,Well1,2297.0,2315.0,2297.4,2315.4,17.92,4.98,5.98,УФ,4.39,6.72,"пересл. песчаника, алевролита и глин",не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2297,Unload2,1003183,Field1,Well1,2926.0,2938.0,2928.6,2940.6,10.65,1.99,2.52,УФ,1.43,2.52,переслаивание песчаника и алевролита,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
2816,Unload2,1004223,Field2,Well2,3238.0,3250.0,3238.0,3250.0,11.99,10.91,10.99,УФ,10.91,11.99,песчаник,пятнисто карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1663,Unload2,1001913,Field1,Well3,2621.0,2638.0,2624.0,2641.0,16.85,6.9,7.08,УФ,5.7,7.08,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
306,Unload1,1000727,Field5,Well6,3142.76,3161.0,3142.26,3160.5,18.15,9.92,10.15,УФ,9.87,10.15,песчаник,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
2897,Unload2,1004385,Field2,Well5,2745.0,2763.0,2742.6,2760.6,17.85,8.93,9.92,УФ,0.0,17.85,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
3020,Unload2,1004631,Field2,Well5,2960.0,2976.0,2959.4,2975.4,15.97,3.07,3.86,УФ,3.07,3.86,песчаник,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
992,Unload2,1000571,Field3,Well8,879.6,888.6,877.9,886.9,8.9,6.94,7.1,УФ,6.77,7.1,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
3012,Unload2,1004615,Field2,Well5,2960.0,2976.0,2959.4,2975.4,15.97,0.0,0.14,УФ,0.0,0.14,песчаник,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
2318,Unload2,1003225,Field1,Well1,3050.0,3062.0,3052.7,3064.7,11.95,2.0,3.0,УФ,0.63,3.61,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1613,Unload2,1001813,Field1,Well3,2577.5,2594.5,2579.2,2596.2,16.95,8.2,8.76,УФ,8.2,8.76,песчаник,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
360,Unload1,1000835,Field5,Well6,3179.0,3188.2,3178.5,3187.7,8.97,7.92,8.91,УФ,7.7,8.97,песчаник глинистый,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
1405,Unload2,1001397,Field1,Well7,2586.0,2598.0,2599.1,2611.1,7.39,0.0,0.37,УФ,0.0,0.37,аргиллит,не карбонатный,разрушен,не опред.,0,1.3698360655737705
666,Unload1,1001589,Field3,Well9,835.0,842.0,835.7,842.7,5.36,2.51,3.48,УФ,2.35,4.67,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1,9.367713004484305
3100,Unload2,1004791,Field2,Well10,2555.0,2568.0,2555.6,2568.6,12.91,4.88,4.97,УФ,4.88,5.4,алевролит,слабокарбонатный,частично разрушен,не опред.,0,1.3698360655737705
2174,Unload2,1002937,Field1,Well1,2772.0,2784.0,2775.8,2787.8,11.87,2.0,2.96,УФ,0.0,7.8,алевролит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
693,Unload1,1001643,Field3,Well9,853.0,858.0,853.7,858.7,4.87,4.5,4.87,УФ,4.5,4.87,песчаник,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1655,Unload2,1001897,Field1,Well3,2621.0,2638.0,2624.0,2641.0,16.85,2.09,2.63,УФ,2.09,2.63,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1777,Unload2,1002141,Field1,Well3,2746.0,2758.0,2751.1,2763.1,11.95,5.0,5.74,УФ,4.66,5.74,кремнистая порода,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1907,Unload2,1002403,Field1,Well1,2297.0,2315.0,2297.4,2315.4,17.92,7.8,7.97,УФ,7.8,9.45,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2798,Unload2,1004187,Field2,Well2,3238.0,3250.0,3238.0,3250.0,11.99,0.0,0.99,УФ,0.0,3.47,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2546,Unload2,1003681,Field2,Well2,2788.3,2805.3,2792.3,2809.3,17.0,12.68,13.66,УФ,9.66,14.14,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1820,Unload2,1002227,Field1,Well3,2826.0,2838.0,2829.8,2841.8,11.97,8.99,9.42,УФ,8.05,9.42,песчаник,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1726,Unload2,1002039,Field1,Well3,2710.0,2722.0,2712.6,2724.6,11.92,2.1,3.0,УФ,2.1,9.08,аргиллит,не карбонатный,разрушен,не опред.,0,1.3698360655737705
815,Unload2,1000217,Field4,Well4,2813.0,2822.0,2812.4,2821.4,8.99,4.0,5.0,УФ,0.0,7.02,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
2885,Unload2,1004361,Field2,Well5,2736.0,2745.0,2733.6,2742.6,8.95,6.96,7.49,УФ,1.99,7.49,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
146,Unload1,1000407,Field5,Well6,3047.45,3056.58,3049.45,3058.58,9.11,5.79,6.8,УФ,0.17,7.67,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
817,Unload2,1000221,Field4,Well4,2813.0,2822.0,2812.4,2821.4,8.99,6.0,6.99,УФ,0.0,7.02,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
3192,Unload2,1004977,Field2,Well10,2977.0,2989.5,2960.9,2973.4,12.5,0.0,1.0,УФ,0.0,4.0,песчаник,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2184,Unload2,1002957,Field1,Well1,2772.0,2784.0,2775.8,2787.8,11.87,10.87,11.87,УФ,7.8,11.87,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
740,Unload2,1000067,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,9.14,9.44,УФ,9.14,9.44,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0,1.3698360655737705
1482,Unload2,1001551,Field1,Well7,2802.0,2814.0,2803.2,2815.2,11.42,10.42,10.55,УФ,8.98,10.55,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1842,Unload2,1002271,Field1,Well3,2838.0,2850.0,2842.7,2854.7,11.99,6.99,7.28,УФ,5.52,7.28,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1614,Unload2,1001815,Field1,Well3,2577.5,2594.5,2579.2,2596.2,16.95,8.76,8.98,УФ,8.76,9.04,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
1219,Unload2,1001025,Field8,Well14,2766.0,2775.0,2767.1,2776.1,8.56,3.98,4.97,УФ,2.02,6.12,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
640,Unload1,1001537,Field3,Well9,821.0,828.0,821.7,828.7,6.21,4.36,5.34,УФ,0.0,6.21,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1,9.367713004484305
417,Unload1,1000977,Field7,Well13,2739.0,2748.0,0.0,0.0,9.0,7.34,8.0,УФ,7.34,9.0,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1311,Unload2,1001209,Field1,Well7,2289.0,2307.0,2301.8,2319.8,17.7,8.79,9.79,УФ,1.95,17.7,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
2225,Unload2,1003039,Field1,Well1,2870.0,2882.0,2873.2,2885.2,11.95,0.62,1.0,УФ,0.62,1.13,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1213,Unload2,1001013,Field8,Well14,2766.0,2775.0,2767.1,2776.1,8.56,0.0,1.0,УФ,0.0,1.0,песчаник,пятнисто карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2590,Unload2,1003769,Field2,Well2,2805.3,2822.3,2809.3,2826.3,17.0,14.22,14.52,УФ,14.22,14.74,песчаник,не карбонатный,не разрушен,продукт,3,20.89
1791,Unload2,1002169,Field1,Well3,2820.0,2826.0,2822.9,2828.9,5.99,1.67,2.0,УФ,1.67,2.3,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
512,Unload1,1001281,Field3,Well12,3231.5,3242.5,3233.0,3244.0,10.96,9.96,10.96,УФ,9.67,10.96,алевролит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
352,Unload1,1000819,Field5,Well6,3179.0,3188.2,3178.5,3187.7,8.97,2.94,3.94,УФ,0.59,6.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0,1.3698360655737705
2062,Unload2,1002713,Field1,Well1,2573.0,2591.0,2575.4,2593.4,18.0,12.01,12.34,УФ,11.68,12.34,алевролит,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
2434,Unload2,1003457,Field2,Well2,2714.6,2727.8,2719.0,2732.2,13.19,6.14,7.12,УФ,0.0,13.19,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
811,Unload2,1000209,Field4,Well4,2813.0,2822.0,2812.4,2821.4,8.99,0.0,0.99,УФ,0.0,7.02,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
1707,Unload2,1002001,Field1,Well3,2698.0,2710.0,2700.6,2712.6,12.0,1.01,1.78,УФ,0.0,1.78,аргиллит,с карбонатными обломками или конкрециями,разрушен,не опред.,0,1.3698360655737705
312,Unload1,1000739,Field5,Well6,3142.76,3161.0,3142.26,3160.5,18.15,12.91,13.54,УФ,11.78,13.54,алевролит,слабокарбонатный,частично разрушен,не опред.,0,1.3698360655737705
1860,Unload2,1002309,Field1,Well1,2270.0,2279.0,2270.4,2279.4,8.97,2.98,3.97,УФ,0.0,6.86,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
688,Unload1,1001633,Field3,Well9,853.0,858.0,853.7,858.7,4.87,0.97,1.91,УФ,0.63,2.8,песчаник,среднекарбонатный,не разрушен,не опред.,0,1.3698360655737705
1825,Unload2,1002237,Field1,Well3,2826.0,2838.0,2829.8,2841.8,11.97,11.66,11.97,УФ,11.66,11.97,песчаник,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
1636,Unload2,1001859,Field1,Well3,2594.5,2611.5,2596.2,2613.2,16.98,5.98,6.28,УФ,5.45,6.28,алевролит,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
1839,Unload2,1002265,Field1,Well3,2838.0,2850.0,2842.7,2854.7,11.99,5.3,5.52,УФ,5.3,5.52,аргиллит,не карбонатный,разрушен,не опред.,0,1.3698360655737705
3170,Unload2,1004933,Field2,Well10,2960.0,2977.0,2941.7,2958.7,16.96,2.98,3.74,УФ,2.24,3.74,песчаник,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
86,Unload1,1000173,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.23,4.43,УФ,4.23,4.43,"пересл. песчаника, алевролита и глин",сильнокарбонатный,не разрушен,не опред.,0,1.3698360655737705
2711,Unload2,1004011,Field2,Well2,2905.0,2912.0,2907.0,2914.0,6.94,1.35,1.54,УФ,1.35,1.54,карбонатная порода,сильнокарбонатный,разрушен,не опред.,0,1.3698360655737705
974,Unload2,1000535,Field4,Well4,3045.0,3050.0,3045.0,3050.0,4.95,2.98,3.25,УФ,1.38,3.25,алевролит,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
995,Unload2,1000577,Field3,Well8,879.6,888.6,877.9,886.9,8.9,7.94,8.9,УФ,7.5,8.9,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
872,Unload2,1000331,Field4,Well4,2884.0,2898.0,2884.9,2898.9,13.89,0.48,0.97,УФ,0.48,3.86,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
1500,Unload2,1001587,Field1,Well3,2284.0,2293.0,2286.1,2295.1,9.0,6.99,7.31,УФ,0.0,7.31,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
2549,Unload2,1003687,Field2,Well2,2788.3,2805.3,2792.3,2809.3,17.0,14.66,15.66,УФ,14.14,15.84,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0,1.3698360655737705
2246,Unload2,1003081,Field1,Well1,2870.0,2882.0,2873.2,2885.2,11.95,9.69,9.95,УФ,9.69,10.01,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1431,Unload2,1001449,Field1,Well7,2790.0,2802.0,2791.2,2803.2,12.0,1.86,2.4,УФ,1.31,2.4,песчаник,с карбонатными обломками или конкрециями,частично разрушен,нефтенасыщенные,1,9.367713004484305
299,Unload1,1000713,Field5,Well6,3142.76,3161.0,3142.26,3160.5,18.15,4.96,5.95,УФ,3.27,8.62,песчаник,слабокарбонатный,не разрушен,не опред.,0,1.3698360655737705
2009,Unload2,1002607,Field1,Well1,2401.0,2419.0,2401.4,2419.4,17.9,11.91,12.92,УФ,0.0,17.9,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1658,Unload2,1001903,Field1,Well3,2621.0,2638.0,2624.0,2641.0,16.85,3.91,4.89,УФ,2.63,5.34,песчаник,с карбонатными обломками или конкрециями,частично разрушен,нефтенасыщенные,1,9.367713004484305
625,Unload1,1001507,Field3,Well9,814.0,821.0,814.7,821.7,6.75,0.98,1.07,УФ,0.74,1.07,песчаник,сильнокарбонатный,не разрушен,не опред.,0,1.3698360655737705
2786,Unload2,1004163,Field2,Well2,2982.0,2994.0,2982.7,2994.7,11.96,5.0,5.93,УФ,4.62,5.93,уголь,не карбонатный,разрушен,не опред.,0,1.3698360655737705
948,Unload2,1000483,Field4,Well4,2924.0,2942.0,2926.5,2944.5,17.86,7.97,8.51,УФ,7.97,8.51,песчаник,пятнисто карбонатный,не разрушен,не опред.,0,1.3698360655737705
1403,Unload2,1001393,Field1,Well7,2568.0,2586.0,2581.1,2599.1,12.0,9.99,10.99,УФ,8.09,12.0,песчаник,не карбонатный,частично разрушен,пятнисто нефтенасыщенные,4,20.89
1832,Unload2,1002251,Field1,Well3,2838.0,2850.0,2842.7,2854.7,11.99,2.04,3.0,УФ,2.04,3.02,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1135,Unload2,1000857,Field3,Well8,969.2,976.2,967.5,974.5,6.17,0.0,0.68,УФ,0.0,0.68,песчаник,не карбонатный,разрушен,нефтенасыщенные,1,9.367713004484305
1124,Unload2,1000835,Field3,Well8,960.2,969.2,958.5,967.5,8.93,2.98,3.98,УФ,0.0,4.33,"пересл. песчаника, алевролита и глин",не карбонатный,частично разрушен,продукт,3,20.89
2298,Unload2,1003185,Field1,Well1,2926.0,2938.0,2928.6,2940.6,10.65,2.52,2.99,УФ,2.52,3.36,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1458,Unload2,1001503,Field1,Well7,2790.0,2802.0,2791.2,2803.2,12.0,11.43,11.77,УФ,11.43,11.77,песчаник,не карбонатный,частично разрушен,пятнисто нефтенасыщенные,4,20.89
851,Unload2,1000289,Field4,Well4,2822.0,2838.0,2821.4,2837.4,15.87,15.11,15.87,УФ,15.11,15.87,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0,1.3698360655737705
3102,Unload2,1004795,Field2,Well10,2555.0,2568.0,2555.6,2568.6,12.91,5.4,5.97,УФ,5.4,8.89,алевролит,пятнисто карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1034,Unload2,1000655,Field3,Well8,908.6,917.6,906.9,915.9,8.46,4.42,4.51,УФ,4.2,4.51,глина аргиллитоподобная,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
1717,Unload2,1002021,Field1,Well3,2698.0,2710.0,2700.6,2712.6,12.0,9.0,10.0,УФ,3.47,11.08,аргиллит,не карбонатный,разрушен,не опред.,0,1.3698360655737705
18,Unload1,1000037,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,3.35,4.0,УФ,3.35,4.65,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5,59.68571428571428
1994,Unload2,1002577,Field1,Well1,2383.0,2401.0,2383.4,2401.4,17.85,14.9,15.89,УФ,0.0,17.85,аргиллит,не карбонатный,разрушен,не опред.,0,1.3698360655737705
1162,Unload2,1000911,Field3,Well8,976.2,985.2,974.5,983.5,9.0,7.6,7.81,УФ,7.6,9.0,песчаник,не карбонатный,не разрушен,продукт,3,20.89
2611,Unload2,1003811,Field2,Well2,2822.3,2839.3,2826.3,2843.3,17.0,9.46,10.21,УФ,9.46,11.16,песчаник,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
1840,Unload2,1002267,Field1,Well3,2838.0,2850.0,2842.7,2854.7,11.99,5.52,5.99,УФ,5.52,7.28,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1412,Unload2,1001411,Field1,Well7,2586.0,2598.0,2599.1,2611.1,7.39,2.98,3.98,УФ,2.24,7.39,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
2741,Unload2,1004071,Field2,Well2,2924.0,2936.0,2926.0,2938.0,11.39,3.16,4.01,УФ,3.16,10.77,кремнистая порода,с карбонатными обломками или конкрециями,частично разрушен,битуминозный,2,19.70754716981132
1650,Unload2,1001887,Field1,Well3,2621.0,2638.0,2624.0,2641.0,16.85,0.92,1.29,УФ,0.0,1.29,песчаник,с карбонатными обломками или конкрециями,частично разрушен,нефтенасыщенные,1,9.367713004484305
1821,Unload2,1002229,Field1,Well3,2826.0,2838.0,2829.8,2841.8,11.97,9.42,9.99,УФ,9.42,10.33,пересл. угля и аргиллита,не карбонатный,разрушен,не опред.,0,1.3698360655737705
2278,Unload2,1003145,Field1,Well1,2914.0,2926.0,2916.6,2928.6,11.91,3.7,3.94,УФ,3.7,4.26,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2169,Unload2,1002927,Field1,Well1,2727.0,2736.0,2727.0,2736.0,8.97,5.99,6.99,УФ,4.66,8.97,карбонатно-кремнистая порода,среднекарбонатный,частично разрушен,битуминозный,2,19.70754716981132
2355,Unload2,1003299,Field1,Well1,3062.0,3074.0,3065.8,3077.8,11.95,6.56,6.95,УФ,6.56,7.23,песчаник,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1043,Unload2,1000673,Field3,Well8,908.6,917.6,906.9,915.9,8.46,7.63,8.46,УФ,7.63,8.46,песчаник,с карбонатными обломками или конкрециями,частично разрушен,нефтенасыщенные,1,9.367713004484305
371,Unload1,1000857,Field7,Well13,2637.0,2644.0,0.0,0.0,7.0,2.0,3.0,УФ,0.0,5.9,аргиллит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2738,Unload2,1004065,Field2,Well2,2924.0,2936.0,2926.0,2938.0,11.39,2.08,2.7,УФ,0.79,2.7,кремнистая порода,с карбонатными обломками или конкрециями,частично разрушен,битуминозный,2,19.70754716981132
2024,Unload2,1002637,Field1,Well1,2555.0,2573.0,2555.9,2573.9,18.0,6.02,7.0,УФ,3.51,7.0,песчаник,не карбонатный,частично разрушен,пятнисто нефтенасыщенные,4,20.89
1249,Unload2,1001085,Field8,Well14,2781.0,2799.0,2782.1,2800.1,17.99,10.95,11.96,УФ,10.33,12.0,кремнисто-глинистая порода,не карбонатный,не разрушен,битуминозный,2,19.70754716981132
1971,Unload2,1002531,Field1,Well1,2365.0,2383.0,2365.4,2383.4,17.9,9.93,10.93,УФ,0.0,17.9,аргиллит,с карбонатными обломками или конкрециями,разрушен,не опред.,0,1.3698360655737705
