,Folder,Id,Field,Well,CoringTop,CoringDown,CoringTopBind,CoringDownBind,CoreRecovery,PhotoTop,PhotoDown,PhotoType,LayerTop,LayerDown,Rock,Carbonate,Ruin,Saturation,class
59,Unload1,1000059,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,8.0,8.77,УФ,7.08,8.77,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
61,Unload1,1000061,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,8.77,9.0,УФ,8.77,9.88,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
63,Unload1,1000063,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,9.0,9.88,УФ,8.77,9.88,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
65,Unload1,1000065,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,9.88,10.0,УФ,9.88,10.28,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
67,Unload1,1000067,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,10.0,10.28,УФ,9.88,10.28,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
69,Unload1,1000069,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,10.28,11.0,УФ,10.28,11.56,песчаник,сильнокарбонатный,не разрушен,не опред.,0
71,Unload1,1000071,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,11.0,11.56,УФ,10.28,11.56,песчаник,сильнокарбонатный,не разрушен,не опред.,0
73,Unload1,1000073,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,11.56,12.0,УФ,11.56,13.68,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
75,Unload1,1000075,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,12.0,13.0,УФ,11.56,13.68,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
77,Unload1,1000077,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,13.0,13.68,УФ,11.56,13.68,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
79,Unload1,1000079,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,13.68,14.0,УФ,13.68,14.44,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
81,Unload1,1000081,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,14.0,14.44,УФ,13.68,14.44,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
83,Unload1,1000083,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,14.44,15.0,УФ,14.44,15.0,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
85,Unload1,1000085,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,0.0,0.31,УФ,0.0,0.31,песчаник,слабокарбонатный,не разрушен,не опред.,0
87,Unload1,1000087,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,0.31,1.0,УФ,0.31,1.06,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
89,Unload1,1000089,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,1.0,1.06,УФ,0.31,1.06,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
91,Unload1,1000091,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,1.06,2.0,УФ,1.06,2.88,алевролит,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
93,Unload1,1000093,Field6,Well11,1978.1,1981.24,1979.3,1982.44,2.88,2.0,2.88,УФ,1.06,2.88,алевролит,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
95,Unload1,1000095,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,0.0,1.0,УФ,0.0,1.33,алевролит,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
97,Unload1,1000097,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,1.0,1.33,УФ,0.0,1.33,алевролит,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
99,Unload1,1000099,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,1.33,1.55,УФ,1.33,1.55,песчаник,не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
101,Unload1,1000101,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,1.55,2.0,УФ,1.55,2.18,алевролит,не карбонатный,не разрушен,не опред.,0
103,Unload1,1000103,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,2.0,2.18,УФ,1.55,2.18,алевролит,не карбонатный,не разрушен,не опред.,0
105,Unload1,1000105,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,2.18,3.0,УФ,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
107,Unload1,1000107,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,3.0,4.0,УФ,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
109,Unload1,1000109,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,4.0,5.0,УФ,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
111,Unload1,1000111,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,5.0,6.0,УФ,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
113,Unload1,1000113,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,6.0,7.0,УФ,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
115,Unload1,1000115,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,7.0,7.07,УФ,2.18,7.07,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
117,Unload1,1000117,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,7.07,8.0,УФ,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
119,Unload1,1000119,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,8.0,9.0,УФ,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
121,Unload1,1000121,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,9.0,10.0,УФ,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
123,Unload1,1000123,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,10.0,11.0,УФ,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
125,Unload1,1000125,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,11.0,12.0,УФ,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
127,Unload1,1000127,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,12.0,13.0,УФ,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
129,Unload1,1000129,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,13.0,14.0,УФ,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
131,Unload1,1000131,Field6,Well11,1981.24,1996.26,1982.44,1997.46,15.0,14.0,15.0,УФ,7.07,15.0,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
133,Unload1,1000133,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,0.0,0.76,УФ,0.0,0.76,песчаник,среднекарбонатный,не разрушен,не опред.,0
135,Unload1,1000135,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,0.76,1.0,УФ,0.76,2.5,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
137,Unload1,1000137,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,1.0,2.0,УФ,0.76,2.5,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
139,Unload1,1000139,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,2.0,2.5,УФ,0.76,2.5,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
141,Unload1,1000141,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,2.5,3.0,УФ,2.5,4.96,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
143,Unload1,1000143,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,3.0,4.0,УФ,2.5,4.96,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
145,Unload1,1000145,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,4.0,4.96,УФ,2.5,4.96,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
147,Unload1,1000147,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,4.96,5.0,УФ,4.96,5.24,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
149,Unload1,1000149,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,5.0,5.24,УФ,4.96,5.24,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
151,Unload1,1000151,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,5.24,5.84,УФ,5.24,5.84,песчаник,с карбонатными обломками или конкрециями,не разрушен,пятнисто нефтенасыщенные,4
153,Unload1,1000153,Field6,Well11,1996.26,2002.26,1997.46,2003.46,6.0,5.84,6.0,УФ,5.84,6.0,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
155,Unload1,1000155,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,0.0,1.0,УФ,0.0,1.23,песчаник,не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
157,Unload1,1000157,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,1.0,1.23,УФ,0.0,1.23,песчаник,не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
159,Unload1,1000159,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,1.23,2.0,УФ,1.23,2.55,песчаник,сильнокарбонатный,не разрушен,не опред.,0
161,Unload1,1000161,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,2.0,2.55,УФ,1.23,2.55,песчаник,сильнокарбонатный,не разрушен,не опред.,0
163,Unload1,1000163,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,2.55,3.0,УФ,2.55,3.32,"пересл. песчаника, алевролита и глин",сильнокарбонатный,не разрушен,не опред.,0
165,Unload1,1000165,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,3.0,3.32,УФ,2.55,3.32,"пересл. песчаника, алевролита и глин",сильнокарбонатный,не разрушен,не опред.,0
167,Unload1,1000167,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,3.32,4.0,УФ,3.32,4.14,песчаник,сильнокарбонатный,не разрушен,не опред.,0
169,Unload1,1000169,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.0,4.14,УФ,3.32,4.14,песчаник,сильнокарбонатный,не разрушен,не опред.,0
171,Unload1,1000171,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.14,4.23,УФ,4.14,4.23,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
173,Unload1,1000173,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.23,4.43,УФ,4.23,4.43,"пересл. песчаника, алевролита и глин",сильнокарбонатный,не разрушен,не опред.,0
175,Unload1,1000175,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.43,4.62,УФ,4.43,4.62,песчаник,среднекарбонатный,не разрушен,пятнисто нефтенасыщенные,4
177,Unload1,1000177,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,4.62,5.0,УФ,4.62,5.04,песчаник,среднекарбонатный,не разрушен,не опред.,0
179,Unload1,1000179,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,5.0,5.04,УФ,4.62,5.04,песчаник,среднекарбонатный,не разрушен,не опред.,0
181,Unload1,1000181,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,5.04,5.66,УФ,5.04,5.66,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
183,Unload1,1000183,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,5.66,6.0,УФ,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
185,Unload1,1000185,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,6.0,7.0,УФ,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
187,Unload1,1000187,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,7.0,8.0,УФ,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
189,Unload1,1000189,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,8.0,9.0,УФ,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
191,Unload1,1000191,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,9.0,10.0,УФ,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
193,Unload1,1000193,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,10.0,11.0,УФ,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
195,Unload1,1000195,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,11.0,11.25,УФ,5.66,11.25,песчаник,слабокарбонатный,не разрушен,слабо нефтенасыщенные,5
197,Unload1,1000197,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,11.25,11.76,УФ,11.25,11.76,песчаник,сильнокарбонатный,не разрушен,пятнисто нефтенасыщенные,4
199,Unload1,1000199,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,11.76,12.0,УФ,11.76,14.96,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
201,Unload1,1000201,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,12.0,13.0,УФ,11.76,14.96,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
203,Unload1,1000203,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,13.0,14.0,УФ,11.76,14.96,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
205,Unload1,1000205,Field6,Well11,2176.06,2191.02,2177.56,2192.52,14.96,14.0,14.96,УФ,11.76,14.96,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
207,Unload1,1000207,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,0.0,1.0,УФ,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
209,Unload1,1000209,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,1.0,2.0,УФ,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
211,Unload1,1000211,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,2.0,3.0,УФ,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
213,Unload1,1000213,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,3.0,4.0,УФ,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
215,Unload1,1000215,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,4.0,4.12,УФ,0.0,4.12,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
217,Unload1,1000217,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,4.12,5.0,УФ,4.12,6.0,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
219,Unload1,1000219,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,5.0,6.0,УФ,4.12,6.0,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
221,Unload1,1000221,Field6,Well11,2191.02,2198.0,2192.52,2199.5,6.98,6.0,6.98,УФ,6.0,6.98,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
223,Unload1,1000337,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,0.0,1.0,УФ,0.0,2.41,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
225,Unload1,1000339,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,1.0,1.99,УФ,0.0,2.41,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
227,Unload1,1000341,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,1.99,2.41,УФ,0.0,2.41,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
229,Unload1,1000343,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,2.41,2.99,УФ,2.41,2.99,песчаник,слабокарбонатный,не разрушен,не опред.,0
231,Unload1,1000345,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,2.99,3.98,УФ,2.99,4.6,песчаник,не карбонатный,не разрушен,не опред.,0
233,Unload1,1000347,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,3.98,4.6,УФ,2.99,4.6,песчаник,не карбонатный,не разрушен,не опред.,0
235,Unload1,1000349,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,4.6,4.99,УФ,4.6,5.28,песчаник,не карбонатный,частично разрушен,не опред.,0
237,Unload1,1000351,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,4.99,5.28,УФ,4.6,5.28,песчаник,не карбонатный,частично разрушен,не опред.,0
239,Unload1,1000353,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,5.28,5.51,УФ,5.28,5.51,алевролит,не карбонатный,не разрушен,не опред.,0
241,Unload1,1000355,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,5.51,5.93,УФ,5.51,5.93,песчаник глинистый,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
243,Unload1,1000357,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,5.93,6.0,УФ,5.93,6.51,песчаник,не карбонатный,не разрушен,не опред.,0
245,Unload1,1000359,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,6.0,6.51,УФ,5.93,6.51,песчаник,не карбонатный,не разрушен,не опред.,0
247,Unload1,1000361,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,6.51,6.79,УФ,6.51,6.79,песчаник глинистый,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
249,Unload1,1000363,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,6.79,6.99,УФ,6.79,7.77,песчаник глинистый,не карбонатный,не разрушен,не опред.,0
251,Unload1,1000365,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,6.99,7.77,УФ,6.79,7.77,песчаник глинистый,не карбонатный,не разрушен,не опред.,0
253,Unload1,1000367,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,7.77,7.97,УФ,7.77,8.07,алевролит,среднекарбонатный,не разрушен,не опред.,0
255,Unload1,1000369,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,7.97,8.07,УФ,7.77,8.07,алевролит,среднекарбонатный,не разрушен,не опред.,0
257,Unload1,1000371,Field5,Well6,3030.0,3038.25,3032.0,3040.25,8.24,8.07,8.24,УФ,8.07,8.24,песчаник,не карбонатный,не разрушен,не опред.,0
259,Unload1,1000373,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,0.0,0.96,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
261,Unload1,1000375,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,0.96,1.93,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
263,Unload1,1000377,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,1.93,2.92,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
265,Unload1,1000379,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,2.92,3.9,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
267,Unload1,1000381,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,3.9,4.9,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
269,Unload1,1000383,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,4.9,5.89,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
271,Unload1,1000385,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,5.89,6.88,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
273,Unload1,1000387,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,6.88,7.87,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
275,Unload1,1000389,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,7.87,8.67,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
277,Unload1,1000391,Field5,Well6,3038.25,3047.45,3040.25,3049.45,8.81,8.67,8.81,УФ,0.0,8.81,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
279,Unload1,1000393,Field5,Well6,3047.45,3056.58,3049.45,3058.58,9.11,0.0,0.17,УФ,0.0,0.17,песчаник,сильнокарбонатный,не разрушен,не опред.,0
281,Unload1,1000395,Field5,Well6,3047.45,3056.58,3049.45,3058.58,9.11,0.17,0.86,УФ,0.17,7.67,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
